@relation mnl2 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.051755,0.005576,-0.005096,3
0.261618,-0.001886,-0.010795,4
0.209392,0.006248,-0.002713,5
0.151128,-0.020373,0.017231,6
0.136915,-0.008382,-0.144073,7
0.130028,-0.018149,-0.040555,1
0.059688,-0.020689,-0.005096,3
0.265388,0.011326,-0.013155,4
0.21176,0.002194,-0.004678,5
0.151128,-0.031431,0.007023,6
0.149153,-0.022143,-0.08491,7
0.114745,0.042674,-0.034521,1
0.055721,0.008209,0.005663,3
0.269132,0.021905,-0.00606,4
0.209392,0.004228,-0.010549,5
0.147781,-0.003812,-0.013328,6
0.144245,-0.001494,-0.045296,7
0.107154,0.020957,-0.010465,1
0.059688,0.00296,-0.007795,3
0.265388,0.006045,0.010522,4
0.21176,0.024501,-0.012515,5
0.144413,0.026577,0.012127,6
0.139353,0.009981,0.13245,7
0.107154,0.033964,-0.010465,1
0.051755,0.005576,-0.007795,3
0.269132,0.006045,-0.00606,4
0.207009,0.018426,0.003171,5
0.147781,-0.003812,-0.028607,6
0.139353,-0.006081,0.092966,7
0.114745,-0.018149,-0.028487,1
0.055721,0.005576,-0.021253,3
0.269132,0.006045,-0.001309,4
0.21176,0.022481,0.012973,5
0.144413,0.001709,-0.008223,6
0.141807,-0.008382,-0.065103,7
0.122386,-0.018149,-0.016459,1
0.063629,0.021341,0.002982,3
0.272902,0.016624,-0.00842,4
0.204625,0.016392,-0.000747,5
0.144413,-0.001043,0.007023,6
0.139353,0.019155,-0.025618,7
0.099513,-0.00944,0.007597,1
0.067596,0.000326,-0.002398,3
0.257874,0.008694,0.012897,4
0.204625,0.014371,0.007089,5
0.141044,0.012767,0.012127,6
0.139353,-0.022143,-0.045296,7
0.091922,-0.005114,-0.022493,1
0.059688,-0.007557,0.000283,3
0.261618,-0.015079,-0.010795,4
0.21176,0.012337,-0.004678,5
0.151128,0.007247,0.032477,6
0.134461,-0.01527,-0.104588,7
0.091922,-0.013795,0.025658,1
0.055721,-0.007557,0.000283,3
0.257874,0.016624,-0.010795,4
0.202258,-0.009984,0.011007,5
0.157843,0.009998,-0.003153,6
0.146699,-0.003795,-0.045296,7
0.107154,0.025283,0.001602,1
0.059688,-0.010173,-0.007795,3
0.257874,0.011326,-0.00606,4
0.209392,-0.018093,0.003171,5
0.157843,0.018287,-0.008223,6
0.136915,-0.010668,0.013866,7
0.114745,0.016603,0.019625,1
0.051755,0.013459,-0.002398,3
0.265388,0.008694,0.003427,4
0.204625,0.004228,0.011007,5
0.144413,-0.023142,0.001952,6
0.132007,0.000807,-0.08491,7
0.107154,-0.00944,-0.028487,1
0.059688,-0.004923,-0.010476,3
0.261618,0.027186,-0.001309,4
0.214143,-0.020114,-0.000747,5
0.147781,0.012767,-0.048958,6
0.136915,0.005394,-0.104588,7
0.114745,-0.02683,-0.016459,1
0.055721,-0.00229,-0.018554,3
0.261618,-0.009798,0.003427,4
0.209392,0.006248,-0.002713,5
0.144413,0.012767,0.001952,6
0.134461,-0.01527,-0.223172,7
0.07669,-0.044192,0.019625,1
0.07947,0.00296,-0.015855,3
0.261618,-0.004517,-0.022642,4
0.21176,0.00016,-0.008597,5
0.144413,0.007247,-0.054062,6
0.136915,0.00768,-0.104588,7
0.107154,-0.022476,-0.010465,1
0.055721,-0.007557,0.002982,3
0.257874,-0.001886,0.003427,4
0.199874,0.022481,-0.006631,5
0.141044,0.001709,-0.008223,6
0.144245,0.005394,-0.045296,7
0.084281,0.016603,-0.028487,1
0.059688,-0.010173,0.000283,3
0.257874,0.003413,0.010522,4
0.202258,0.024501,0.012973,5
0.151128,0.004478,-0.033678,6
0.136915,0.014568,-0.124395,7
